path,target,input_lengths,english_gloss,chinese_gloss,cantonese_gloss
data\features\HKSLLEX-2023-00000003.pt,2398,55,surprise,驚喜,驚喜
data\features\HKSLLEX-2023-00000008.pt,358,68,bath,洗澡,沖涼
data\features\HKSLLEX-2023-00000007.pt,2022,72,responsibility,責任,責任
data\features\HKSLLEX-2023-00000006.pt,443,76,bored,悶,悶
data\features\HKSLLEX-2023-00000005.pt,417,78,blind,盲,盲
data\features\HKSLLEX-2023-00000004.pt,1256,80,hearing aid,助聽器,助聽器
data\features\HKSLLEX-2023-00000001.pt,2314,83,start,開始,開始
data\features\HKSLLEX-2023-00000002.pt,1954,83,puzzled,疑惑,疑惑
data\features\HKSLLEX-2023-00000009.pt,2255,90,some,一些,一啲
data\features\HKSLLEX-2023-00000010.pt,317,80,awkward,尷尬,尷尬
data\features\HKSLLEX-2023-00000012.pt,1014,75,favorite,最鍾意,最鍾意
data\features\HKSLLEX-2023-00000011.pt,1999,86,relationship,關係,關係
data\features\HKSLLEX-2023-00000013.pt,1322,76,hunt,打獵,打獵
data\features\HKSLLEX-2023-00000016.pt,1292,82,honest,老實,老實
data\features\HKSLLEX-2023-00000014.pt,2064,91,rude,粗魯,粗魯
data\features\HKSLLEX-2023-00000015.pt,1248,98,headache,頭痛,頭痛
data\features\HKSLLEX-2023-00000017.pt,612,80,city,城市,城市
data\features\HKSLLEX-2023-00000018.pt,613,76,city2,城市,城市
data\features\HKSLLEX-2023-00000019.pt,2433,81,tall,高,高
data\features\HKSLLEX-2023-00000021.pt,2651,82,warn,警告,警告
data\features\HKSLLEX-2023-00000020.pt,1350,89,impossible,不可能,冇可能
data\features\HKSLLEX-2023-00000022.pt,1674,80,new york,紐約,紐約
data\features\HKSLLEX-2023-00000024.pt,1058,90,flag,旗,旗
data\features\HKSLLEX-2023-00000023.pt,1282,111,hockey,曲棍球,曲棍球
data\features\HKSLLEX-2023-00000025.pt,1032,74,film,電影,電影
data\features\HKSLLEX-2023-00000026.pt,1454,84,last,最後,最後
data\features\HKSLLEX-2023-00000028.pt,2185,80,shy,怕醜,怕醜
data\features\HKSLLEX-2023-00000027.pt,2622,88,videophone,視訊電話,視訊電話
data\features\HKSLLEX-2023-00000029.pt,1525,88,look at,望住,望住
data\features\HKSLLEX-2023-00000030.pt,1470,94,learn,學習,學習
data\features\HKSLLEX-2023-00000031.pt,2537,84,traffic,交通,交通
data\features\HKSLLEX-2023-00000032.pt,2484,76,three,三,三
data\features\HKSLLEX-2023-00000034.pt,1919,63,print,影印,影印
data\features\HKSLLEX-2023-00000033.pt,2484,93,three,三,三
data\features\HKSLLEX-2023-00000035.pt,1603,82,mind,心智,心智
data\features\HKSLLEX-2023-00000036.pt,432,71,body,身體,身體
data\features\HKSLLEX-2023-00000038.pt,1839,72,pill,藥丸,藥丸
data\features\HKSLLEX-2023-00000037.pt,371,76,because,因為,因為
data\features\HKSLLEX-2023-00000039.pt,335,100,bake,烤焗,烤焗
data\features\HKSLLEX-2023-00000040.pt,1168,89,good,好,好
data\features\HKSLLEX-2023-00000041.pt,1311,90,hotel,酒店,酒店
data\features\HKSLLEX-2023-00000042.pt,2743,77,wrong,錯,錯
data\features\HKSLLEX-2023-00000044.pt,863,95,doubt,懷疑,懷疑
data\features\HKSLLEX-2023-00000043.pt,2577,92,type,種類,種類
data\features\HKSLLEX-2023-00000045.pt,1418,82,judge,法官,法官
data\features\HKSLLEX-2023-00000046.pt,1791,92,patient,病人,病人
data\features\HKSLLEX-2023-00000047.pt,1638,76,much,好多,好多
data\features\HKSLLEX-2023-00000048.pt,2,84,5 dollars,五蚊,五蚊
data\features\HKSLLEX-2023-00000049.pt,2740,91,wristwatch,手錶,手錶
data\features\HKSLLEX-2023-00000050.pt,472,99,breakdown,分解,分解
data\features\HKSLLEX-2023-00000052.pt,481,91,brother,弟弟,弟弟
data\features\HKSLLEX-2023-00000053.pt,1821,92,person,人,人
data\features\HKSLLEX-2023-00000051.pt,481,102,brother,哥哥,哥哥
data\features\HKSLLEX-2023-00000054.pt,489,92,bug,蟲,蟲
data\features\HKSLLEX-2023-00000055.pt,2080,74,salt,鹽,鹽
data\features\HKSLLEX-2023-00000056.pt,270,79,angry,嬲,嬲
data\features\HKSLLEX-2023-00000057.pt,2139,76,serious,嚴重,嚴重
data\features\HKSLLEX-2023-00000059.pt,509,72,cabbage,椰菜,椰菜
data\features\HKSLLEX-2023-00000062.pt,1011,60,father,爸爸,爸爸
data\features\HKSLLEX-2023-00000060.pt,1606,76,minute,分鐘,分鐘
data\features\HKSLLEX-2023-00000061.pt,2275,77,speakers,喇叭,喇叭
data\features\HKSLLEX-2023-00000058.pt,2187,97,sick,不舒服,唔舒服
data\features\HKSLLEX-2023-00000064.pt,1905,71,prefer,偏心,偏心
data\features\HKSLLEX-2023-00000063.pt,1905,99,prefer,比較喜歡,比較鐘意
data\features\HKSLLEX-2023-00000065.pt,1707,89,nothing,沒有東西,冇嘢
data\features\HKSLLEX-2023-00000066.pt,562,68,certificate,證書,證書
